headwater_id,downstream_id,drainage_ratio,dist,hw_order,ds_order,connection_id,start_hw,end_hw,n_hw,start_ds,end_ds,n_ds,n_rat,start_hw_hw,end_hw_hw,n_hw_hw,start_ds_ds,end_ds_ds,n_ds_ds
01055500,01059000,0.052051685,34.228,3,5,2,10/1/1981,9/30/2023,13575,10/1/1981,9/30/2023,15340,0.8849413298565841,10/1/1981,9/30/2023,13575,10/1/1981,9/30/2023,15340
01094400,01094500,0.583713584,11.143,3,4,3,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01109000,01109060,0.513513514,18.655,3,4,4,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01110000,01112500,0.061537034,43.562,2,5,5,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01111300,01111500,0.175275191,17.635,3,4,6,10/1/1981,9/30/2023,14609,10/1/1981,9/30/2023,15340,0.9523468057366362,10/1/1981,9/30/2023,14609,10/1/1981,9/30/2023,15340
01117350,01117500,0.095752896,18.313,2,4,8,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01117420,01118500,0.122382199,44.169,3,5,9,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01117420,01117500,0.361003861,13.023,3,4,10,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01117468,01117500,0.088803089,8.851,2,4,11,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01121000,01122000,0.164410916,11.031,2,4,12,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,13149,0.8571707953063885,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,13149
01121000,01122500,0.07081422,16.146,2,5,13,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01134500,01135500,0.172511513,33.817,3,4,15,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01162500,01166500,0.052101713,46.506,3,5,16,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
01163200,01166500,0.091645044,50.539,3,5,17,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340,1,10/1/1981,9/30/2023,15340,10/1/1981,9/30/2023,15340
